epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9626,0.5604,3.58871,1.13189,0.01767,1,0.09877,0.09324,0.27837,3.2377,0.21756,0.00020625,0.00020625,0.00020625
2,91.0063,0.2971,2.87761,0.97551,0.15947,0.58611,0.13054,0.11203,0.42997,2.53919,0.27441,0.000410479,0.000410479,0.000410479
3,139.645,0.29971,2.48637,0.97449,0.07355,0.46597,0.14761,0.13099,0.4505,2.49353,0.24549,0.000610583,0.000610583,0.000610583
4,189.832,0.26453,2.26677,0.96412,0.3004,0.25185,0.09118,0.07262,0.61072,2.78736,0.32334,0.000606437,0.000606437,0.000606437
5,242.454,0.2548,2.15867,0.95607,0.08899,0.55931,0.15786,0.13571,0.36813,2.58184,0.20797,0.00060025,0.00060025,0.00060025
6,309.839,0.23284,2.05268,0.94,0.18221,0.44403,0.18143,0.1621,0.30796,2.48501,0.19082,0.000594062,0.000594062,0.000594062
7,374.514,0.21833,1.98143,0.92859,0.21833,0.45801,0.19627,0.18824,0.17699,2.43415,0.11811,0.000587875,0.000587875,0.000587875
8,432.284,0.19271,1.92389,0.92084,0.11054,0.51204,0.22893,0.21359,0.33418,2.17146,0.20825,0.000581687,0.000581687,0.000581687
9,484.302,0.19383,1.88726,0.93201,0.2236,0.39657,0.24443,0.23386,0.37375,2.29838,0.25006,0.0005755,0.0005755,0.0005755
10,535.67,0.18145,1.87702,0.91962,0.19962,0.59257,0.28221,0.26207,0.34409,2.19963,0.21702,0.000569313,0.000569313,0.000569313
11,586.914,0.18111,1.82669,0.91642,0.15942,0.48436,0.28675,0.27545,0.34316,2.28218,0.18997,0.000563125,0.000563125,0.000563125
12,637.939,0.17362,1.80679,0.92231,0.16186,0.31028,0.24853,0.22623,0.43366,2.42321,0.28386,0.000556938,0.000556938,0.000556938
13,689.122,0.17642,1.79948,0.92601,0.18172,0.49541,0.21776,0.19335,0.3266,2.7801,0.24771,0.00055075,0.00055075,0.00055075
14,740.532,0.16636,1.77618,0.90444,0.26695,0.5717,0.32182,0.31335,0.33275,2.35145,0.2438,0.000544563,0.000544563,0.000544563
15,792.388,0.16783,1.75529,0.91711,0.22945,0.63812,0.37234,0.35606,0.31253,2.06856,0.1978,0.000538375,0.000538375,0.000538375
16,843.675,0.16634,1.72424,0.91716,0.21824,0.64163,0.36566,0.35895,0.21403,2.09695,0.15398,0.000532187,0.000532187,0.000532187
17,894.734,0.15424,1.71411,0.90909,0.23036,0.48643,0.33557,0.32313,0.35398,2.46347,0.22065,0.000526,0.000526,0.000526
18,946.423,0.15453,1.70038,0.90758,0.27068,0.56487,0.37702,0.36692,0.29722,2.20585,0.17176,0.000519812,0.000519812,0.000519812
19,998.492,0.14679,1.70368,0.91358,0.44995,0.49096,0.38449,0.36921,0.26258,2.2375,0.1588,0.000513625,0.000513625,0.000513625
20,1049.96,0.13933,1.68281,0.90387,0.24553,0.62159,0.39509,0.38242,0.33056,1.91116,0.17085,0.000507438,0.000507438,0.000507438
21,1101.86,0.13879,1.66034,0.90793,0.33612,0.36567,0.27456,0.27149,0.22956,2.71169,0.17806,0.00050125,0.00050125,0.00050125
22,1154.13,0.13667,1.63751,0.90947,0.33472,0.60674,0.44508,0.43205,0.28321,1.76129,0.17534,0.000495063,0.000495063,0.000495063
23,1205.9,0.15725,1.64466,0.92806,0.29822,0.39276,0.30289,0.29888,0.27817,2.53244,0.18155,0.000488875,0.000488875,0.000488875
24,1257.83,0.13884,1.62401,0.90208,0.20772,0.46294,0.34401,0.33865,0.27022,2.36148,0.16636,0.000482687,0.000482687,0.000482687
25,1309.65,0.12768,1.60572,0.9049,0.29598,0.57731,0.41765,0.4083,0.24038,1.82972,0.15892,0.0004765,0.0004765,0.0004765
26,1361.36,0.12855,1.59037,0.90172,0.18566,0.52254,0.32603,0.31483,0.28223,2.39662,0.2049,0.000470312,0.000470312,0.000470312
27,1412.5,0.12859,1.57971,0.90397,0.25391,0.525,0.35576,0.34169,0.20723,2.00416,0.15995,0.000464125,0.000464125,0.000464125
28,1460.3,0.12417,1.5621,0.89924,0.30348,0.46344,0.41626,0.4083,0.22277,2.23632,0.16283,0.000457938,0.000457938,0.000457938
29,1509.85,0.12167,1.57925,0.89986,0.41762,0.383,0.32174,0.30986,0.29958,2.51222,0.19613,0.00045175,0.00045175,0.00045175
30,1563.1,0.12831,1.57442,0.90393,0.3586,0.48919,0.37371,0.36674,0.23288,2.1655,0.15184,0.000445562,0.000445562,0.000445562
31,1614.91,0.13058,1.55927,0.90748,0.16377,0.523,0.27555,0.27095,0.30792,2.15291,0.19155,0.000439375,0.000439375,0.000439375
32,1666.6,0.12511,1.54988,0.90488,0.23209,0.55823,0.34775,0.30346,0.41073,2.21008,0.25019,0.000433187,0.000433187,0.000433187
33,1717.92,0.12535,1.51632,0.90434,0.32697,0.54936,0.42159,0.41116,0.2304,1.7791,0.14099,0.000427,0.000427,0.000427
34,1769.57,0.12206,1.50981,0.9052,0.25458,0.62915,0.38953,0.36957,0.22342,2.15111,0.15189,0.000420812,0.000420812,0.000420812
35,1821.23,0.1403,1.53376,0.91828,0.26549,0.39255,0.36333,0.35859,0.26266,2.18119,0.16956,0.000414625,0.000414625,0.000414625
36,1872.86,0.12097,1.5157,0.9052,0.25282,0.68341,0.41586,0.40185,0.2605,2.27959,0.16901,0.000408438,0.000408438,0.000408438
37,1923.76,0.11986,1.52225,0.90082,0.22038,0.5343,0.36799,0.35837,0.28661,1.96312,0.18455,0.00040225,0.00040225,0.00040225
38,1974.8,0.11758,1.51012,0.90545,0.23948,0.52291,0.38713,0.38345,0.20587,1.99794,0.12727,0.000396063,0.000396063,0.000396063
39,2026.05,0.11502,1.49734,0.89738,0.32941,0.53718,0.46159,0.45943,0.25118,2.00484,0.15416,0.000389875,0.000389875,0.000389875
40,2077.75,0.11325,1.47836,0.90243,0.28693,0.48416,0.38154,0.37045,0.26266,1.98418,0.18712,0.000383688,0.000383688,0.000383688
41,2128.69,0.11688,1.46888,0.90733,0.21118,0.4898,0.32382,0.30793,0.30608,2.25515,0.20605,0.0003775,0.0003775,0.0003775
42,2179.7,0.11674,1.46249,0.9,0.30522,0.57592,0.45693,0.44236,0.30731,1.86131,0.16564,0.000371313,0.000371313,0.000371313
43,2231.05,0.11232,1.43937,0.90249,0.48714,0.42613,0.43879,0.42463,0.32442,1.94704,0.19461,0.000365125,0.000365125,0.000365125
44,2282.51,0.10223,1.44478,0.90006,0.36743,0.63097,0.49027,0.48412,0.24344,1.81678,0.15642,0.000358938,0.000358938,0.000358938
45,2333.88,0.11486,1.42865,0.90242,0.36726,0.4838,0.41821,0.41464,0.28047,1.95959,0.16701,0.00035275,0.00035275,0.00035275
46,2384.9,0.11031,1.43842,0.90008,0.40754,0.41135,0.37488,0.36709,0.26107,2.092,0.16193,0.000346563,0.000346563,0.000346563
47,2435.97,0.10322,1.45726,0.89963,0.25951,0.50001,0.39733,0.38341,0.28829,1.88004,0.17537,0.000340375,0.000340375,0.000340375
48,2487.5,0.10078,1.39774,0.89845,0.25755,0.60955,0.41491,0.3936,0.26869,2.07778,0.15868,0.000334188,0.000334188,0.000334188
49,2538.59,0.10174,1.40615,0.89404,0.41499,0.53009,0.44645,0.43778,0.23498,1.59369,0.14447,0.000328,0.000328,0.000328
50,2589.92,0.10142,1.38944,0.8968,0.40503,0.49708,0.4924,0.47914,0.21436,1.72156,0.13583,0.000321812,0.000321812,0.000321812
51,2641.09,0.11227,1.38788,0.91004,0.37025,0.46258,0.42897,0.41926,0.27236,2.20262,0.15542,0.000315625,0.000315625,0.000315625
52,2692.1,0.11519,1.37903,0.92316,0.49046,0.51382,0.4431,0.43392,0.22714,2.07405,0.15723,0.000309437,0.000309437,0.000309437
53,2743.86,0.09777,1.38029,0.9047,0.31655,0.54816,0.44348,0.43516,0.25224,2.01394,0.16368,0.00030325,0.00030325,0.00030325
54,2794.9,0.10078,1.37854,0.90119,0.31931,0.48409,0.36802,0.36106,0.26071,2.35727,0.16309,0.000297063,0.000297063,0.000297063
55,2846.32,0.09594,1.36518,0.8977,0.35775,0.58123,0.47172,0.46561,0.2124,1.90954,0.1644,0.000290875,0.000290875,0.000290875
56,2897.52,0.10055,1.35107,0.89731,0.37473,0.56782,0.47038,0.44798,0.2221,1.89442,0.15279,0.000284688,0.000284688,0.000284688
57,2945.8,0.09396,1.35487,0.89161,0.56715,0.33213,0.3905,0.38341,0.30539,2.14397,0.19885,0.0002785,0.0002785,0.0002785
58,2994.21,0.09607,1.31333,0.89487,0.2966,0.50625,0.38311,0.37245,0.28674,2.18618,0.18569,0.000272313,0.000272313,0.000272313
59,3045.71,0.09455,1.3174,0.89164,0.36094,0.52244,0.42263,0.41296,0.24316,1.9735,0.15686,0.000266125,0.000266125,0.000266125
60,3097.06,0.09922,1.31186,0.89829,0.31454,0.50269,0.41138,0.40093,0.23578,1.95155,0.15517,0.000259938,0.000259938,0.000259938
61,3148.11,0.09463,1.30944,0.89603,0.46211,0.54378,0.47031,0.46504,0.2174,2.02059,0.12082,0.00025375,0.00025375,0.00025375
62,3200.36,0.09595,1.31122,0.89657,0.46821,0.42876,0.43402,0.42321,0.25345,1.91498,0.15128,0.000247563,0.000247563,0.000247563
63,3251.92,0.09397,1.28884,0.89728,0.55598,0.41637,0.43231,0.4252,0.27852,1.95429,0.17673,0.000241375,0.000241375,0.000241375
64,3302.84,0.09252,1.3025,0.89694,0.4802,0.4567,0.44027,0.42978,0.24871,1.96819,0.17129,0.000235188,0.000235188,0.000235188
65,3353.88,0.09119,1.26144,0.89453,0.45992,0.39398,0.41465,0.39929,0.28169,2.08096,0.17253,0.000229,0.000229,0.000229
66,3405.36,0.09173,1.26769,0.89975,0.41972,0.47657,0.46913,0.453,0.22092,1.86513,0.14761,0.000222813,0.000222813,0.000222813
67,3456.84,0.08935,1.23845,0.88978,0.31933,0.4586,0.41993,0.39271,0.28017,2.34319,0.17846,0.000216625,0.000216625,0.000216625
68,3508.07,0.08928,1.26495,0.89433,0.37146,0.49746,0.45432,0.43441,0.25315,2.25866,0.15554,0.000210437,0.000210437,0.000210437
69,3554.88,0.09568,1.26371,0.90764,0.30435,0.50122,0.37148,0.35725,0.25408,2.14465,0.16546,0.00020425,0.00020425,0.00020425
70,3605.43,0.0873,1.2414,0.89684,0.37485,0.5441,0.42853,0.40675,0.26018,2.29772,0.16739,0.000198063,0.000198063,0.000198063
71,3656.66,0.08326,1.24288,0.89869,0.30887,0.56496,0.43469,0.41201,0.28652,2.23061,0.196,0.000191875,0.000191875,0.000191875
72,3707.67,0.0867,1.21828,0.89903,0.41546,0.49745,0.43213,0.41631,0.24856,2.09604,0.17356,0.000185688,0.000185688,0.000185688
